NTACode,NTAName,baseline_stress,event_stress,delta
SI0202,New Dorp-Midland Beach,-0.5526826716077815,-0.5182467631568565,0.034435908450925035
QN1101,Auburndale,-0.5123970278382936,-0.4865828837893358,0.025814144048957766
QN1401,Far Rockaway-Bayswater,-0.2681813735138622,-0.24748900728527923,0.020692366228582948
BK0302,Bedford-Stuyvesant (East),0.4581910958839442,0.471137253027026,0.012946157143081838
QN0804,Jamaica Estates-Holliswood,-0.4716499474971424,-0.4623727786802899,0.009277168816852477
QN1303,Queens Village,-0.465670497578394,-0.4575119926359375,0.008158504942456513
QN1003,Howard Beach-Lindenwood,-0.5272305702303399,-0.5197539508397572,0.0074766193905827505
BK1303,Brighton Beach,0.0240494404789459,0.03018085574794327,0.006131415268997371
QN0905,Woodhaven,-0.3098692324149913,-0.30383071801578443,0.006038514399206885
BX0492,Claremont Park,-0.5168350086111484,-0.5251826616319872,-0.008347653020838841
BK0504,Spring Creek-Starrett City,-0.5128171508167194,-0.5251826616056201,-0.012365510788900691
QN0805,Jamaica Hills-Briarwood,-0.2264112804111213,-0.24069791755167413,-0.014286637140552838
QN0902,Richmond Hill,-0.345948587850451,-0.3664580537173765,-0.02050946586692548
QN1203,Baisley Park,-0.399578241636257,-0.4239289927876998,-0.024350751151442807
BK1002,Dyker Heights,-0.4413074215335864,-0.47013611137694156,-0.028828689843355182
SI0103,Rosebank-Shore Acres-Park Hill,-0.4961010276723346,-0.5251826616114917,-0.029081633939157137
BK1802,Marine Park-Mill Basin-Bergen Beach,-0.4958103565272303,-0.5251826616437709,-0.029372305116540598
QN1305,Laurelton,-0.49276664639743,-0.5251826616437709,-0.03241601524634091
BX1102,Morris Park,-0.2973023789404336,-0.33120275371384117,-0.03390037477340757
QN0302,East Elmhurst,-0.402911601582417,-0.44225568875090937,-0.03934408716849236
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,-0.3749882633367381,-0.41986134428270006,-0.04487308094596193
QN1304,Cambria Heights,-0.4725109762828504,-0.5251826616407043,-0.05267168535785388
QN0802,Pomonok-Electchester-Hillcrest,-0.4717768766269686,-0.5251826616428636,-0.053405785015895046
BK0102,Williamsburg,0.1552178318919722,0.08183931894204129,-0.0733785129499309
BX1203,Wakefield-Woodlawn,0.2982134157896072,0.2149372768259834,-0.08327613896362379
QN1205,St. Albans,-0.4406920777836135,-0.5251826616394261,-0.08449058385581254
BK1201,Sunset Park (East)-Borough Park (West),-0.1350952789759891,-0.2201196683809603,-0.0850243894049712
QN0704,Murray Hill-Broadway Flushing,-0.4198061940510493,-0.5070266569423442,-0.08722046289129487
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,-0.4367480338454712,-0.5251826616382136,-0.08843462779274242
BX0202,Longwood,1.6645606148025505,1.5723736220498534,-0.09218699275269704
QN0303,North Corona,-0.0292322624823638,-0.1299698014797595,-0.10073753899739571
QN0504,Middle Village,-0.4222105818617182,-0.5251826616437709,-0.1029720797820527
BK0503,East New York-New Lots,0.0258716708623438,-0.07958787482111918,-0.10545954568346297
QN0402,Corona,0.1580189884114785,0.04861081103253445,-0.10940817737894404
QN0602,Forest Hills,-0.1400869473599372,-0.2527514663564572,-0.11266451899651997
MN0703,Upper West Side-Manhattan Valley,0.9727797727374824,0.8600823326839042,-0.11269744005357818
SI0101,St. George-New Brighton,-0.2149808810010319,-0.3404218952394782,-0.12544101423844628
