NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
MN1203,Inwood,14.436963579453623,1.0965637225987697,0.07595528772818791
MN1292,Inwood Hill Park,10.00763762856821,0.7285833101131627,0.07280272699256407
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,180.42710484999867,12.982309045825437,0.07195320823120514
BX0303,Crotona Park East,15.978753794076853,1.1492371221863098,0.07192282558432807
MN0903,Hamilton Heights-Sugar Hill,15.983571424288481,1.1294425847738827,0.0706627170356678
BK1301,Gravesend (South),25.835852884651626,1.793945648451995,0.06943628516779986
QN1103,Douglaston-Little Neck,68.14926837500325,4.528233038686694,0.06644580560673523
BK5693,Shirley Chisholm State Park,18.28474282089405,1.1972461253510067,0.06547787612210267
SI0103,Rosebank-Shore Acres-Park Hill,35.25115849138069,2.301181535147251,0.06527960026363151
MN0701,Upper West Side-Lincoln Square,15.797373385687022,1.0218209603021555,0.06468296566490993
BK0201,Brooklyn Heights,9.982121722785502,0.6317243059543991,0.0632855742995405
MN0402,Hell's Kitchen,18.38229897876699,1.155514284613693,0.06286016161245138
SI0106,Port Richmond,36.23692153161677,2.2488254599633497,0.06205895437340741
MN1002,Harlem (North),23.792861399287023,1.4531052056851277,0.06107315893197576
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,186.31117413237783,10.883880948846514,0.0584177572790846
BK0104,East Williamsburg,52.2676557860395,3.001692746950026,0.05742925910504996
QN0702,Whitestone-Beechhurst,52.63765839960876,3.0004020102602658,0.0570010540264186
BK1802,Marine Park-Mill Basin-Bergen Beach,58.87162889954632,3.196460713017542,0.05429543521671055
SI0101,St. George-New Brighton,26.508918092672417,1.417994235356616,0.053491214933761376
QN8381,John F. Kennedy International Airport,197.19016400372072,10.51297970440716,0.05331391531379219
MN0902,Manhattanville-West Harlem,10.734795318953338,0.5699611218201855,0.053094735845951625
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,23.731557706789655,1.1746183210928733,0.04949604807259712
BX1201,Williamsbridge-Olinville,36.2422863000172,1.7704015079684554,0.04884905696381564
MN0661,United Nations,1.0912515673942826,0.05221178181351434,0.04784577944587692
QN0202,Sunnyside,47.70192959798596,2.2370243408433246,0.046895887853932325
BX0501,University Heights (South)-Morris Heights,19.63738304255519,0.9185671475137166,0.04677645414988014
BK1103,Gravesend (West),33.8352341310242,1.5439333856726811,0.045630935482636956
SI0302,Great Kills-Eltingville,116.74633020111855,5.203799769642142,0.044573561847105356
QN0703,Bay Terrace-Clearview,39.319957848838705,1.6688976260035409,0.042444033953938504
QN0105,Queensbridge-Ravenswood-Dutch Kills,27.721551504141793,1.143540840029939,0.04125096821724015
BX0803,Riverdale-Spuyten Duyvil,62.9830617179871,2.4633214427178842,0.03911085576861363
QN0501,Maspeth,58.314816502511725,2.117901622726635,0.03631841356536573
MN1201,Washington Heights (South),21.02766113737251,0.7326749667382609,0.034843388522943046
MN1202,Washington Heights (North),24.771326004738427,0.8456733726905871,0.03413920484227695
BX1202,Eastchester-Edenwald-Baychester,56.39594218620364,1.8592970252583638,0.03296863130895986
BX0601,West Farms,11.701324541496572,0.364805136896909,0.03117639679193543
QN1102,Bayside,70.41012399315676,2.13330590113393,0.030298283544299233
BX0901,Soundview-Bruckner-Bronx River,32.20811963705678,0.9326310197746307,0.028956394545355573
QN1203,Baisley Park,47.94884937742223,1.3728300287680864,0.02863113602501823
BK0504,Spring Creek-Starrett City,27.08643720602149,0.7023390162270755,0.025929545878811296
BK1001,Bay Ridge,61.63598981675482,1.4689178466541695,0.02383214500199145
MN0702,Upper West Side (Central),25.410645873897494,0.601928572205144,0.023688046938762048
BK0103,South Williamsburg,15.209013605953457,0.3417559955073588,0.022470621985214146
MN0901,Morningside Heights,15.92278766541503,0.3499265315428299,0.021976461590509377
BX0802,Kingsbridge-Marble Hill,12.312565675119217,0.23239196579098106,0.018874373702679227
SI0105,Westerleigh-Castleton Corners,76.52917573215845,1.3481752901674422,0.017616487793960692
BK1803,Canarsie,70.53374959090483,1.1496198585383675,0.016298862107943405
MN0604,East Midtown-Turtle Bay,13.138569691645479,0.21248341393327813,0.0161724920535598
MN0703,Upper West Side-Manhattan Valley,13.200438255600128,0.19625687838744896,0.014867451715414776
BK1061,Fort Hamilton,8.464748796163185,0.11720832401853037,0.013846639379500236
BX1203,Wakefield-Woodlawn,39.64681609383161,0.5453593950379273,0.01375543987560646
QN0704,Murray Hill-Broadway Flushing,56.452737018609234,0.6589778240608929,0.011673089009726237
QN1204,Springfield Gardens (North)-Rochdale Village,34.46434538570601,0.3772369148036725,0.010945715364149363
BK0505,East New York-City Line,31.529190163381482,0.33926977290265464,0.010760497530846451
QN0261,Sunnyside Yards (South),8.783539819049981,0.0898084798465592,0.010224633996851714
BX0701,University Heights (North)-Fordham,18.317621662044914,0.16754778493379088,0.009146808904834998
BK1102,Bath Beach,20.556890332370184,0.17600285995762635,0.00856174533754656
QN0871,Mount Hebron & Cedar Grove Cemeteries,9.208934197310871,0.07834234687832893,0.008507211062622852
SI0104,West New Brighton-Silver Lake-Grymes Hill,85.35886378618629,0.5051243570364264,0.005917655585267657
QN0302,East Elmhurst,28.76404360690959,0.13229086085254102,0.004599174673089517
SI0303,Arden Heights-Rossville,67.77388498029624,0.2563331907160005,0.00378218233749657
QN0303,North Corona,13.961432860110413,0.04053088159779145,0.002903060309346423
QN0402,Corona,24.025821780452368,0.06748840304732281,0.0028089945752545293
BX1102,Morris Park,27.83325925850197,0.04325388645746991,0.0015540359846379667
QN0502,Ridgewood,42.54926668286715,0.04057477193838087,0.0009535950934430245
BX2691,Van Cortlandt Park,50.65872077608002,0.02218546955495005,0.0004379397903277803
QN0602,Forest Hills,57.95475516805459,0.015684701486764124,0.0002706370071149871
BK0203,Fort Greene,17.533748572672195,0.0,0.0
BK0204,Clinton Hill,14.566661607274426,0.0,0.0
BK0301,Bedford-Stuyvesant (West),36.90678647245963,0.0,0.0
BK0302,Bedford-Stuyvesant (East),41.28984523277641,0.0,0.0
BK0401,Bushwick (West),23.134380081945114,0.0,0.0
BK0402,Bushwick (East),27.93407077452775,0.0,0.0
BK0471,The Evergreens Cemetery,5.5854503818690695,0.0,0.0
BK0501,Cypress Hills,24.37905979587827,0.0,0.0
BK0502,East New York (North),27.907113019598025,0.0,0.0
BK0503,East New York-New Lots,46.45767035664579,0.0,0.0
BK0571,Highland Park-Cypress Hills Cemeteries (South),8.10100096801317,0.0,0.0
BK0602,Park Slope,25.831738525034332,0.0,0.0
