NTACode,NTAName,area_km2,svc_311_density
QN1205,St. Albans,6.90059035327394,357.79547453191435
QN1206,Hollis,2.273283088170313,581.9776722417959
QN1301,Glen Oaks-Floral Park-New Hyde Park,4.219825883816277,128.9152716196962
QN1302,Bellerose,5.139629066520896,170.63488213822725
QN1303,Queens Village,6.471274552132617,348.7720976474723
QN1304,Cambria Heights,3.07262868938817,298.1160734336554
QN1305,Laurelton,3.701332454440336,287.7342181792839
QN1306,Springfield Gardens (South)-Brookville,5.336078026461656,203.14545526216725
QN1307,Rosedale,4.388291451188291,288.03920935053793
QN1371,Montefiore Cemetery,0.49443326115528,2.0225176551905624
QN1401,Far Rockaway-Bayswater,5.618274689300171,656.607268958491
QN1402,Rockaway Beach-Arverne-Edgemere,4.691807477981643,430.75083738717444
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6.43195048007509,159.6716273207393
QN1491,Rockaway Community Park,0.829594863254467,1.2054076565482104
QN8081,LaGuardia Airport,2.842117589524216,1.7592516292885065
QN8191,Flushing Meadows-Corona Park,5.129021764111894,23.39627428365541
QN8291,Forest Park,2.230602068165768,47.52080234874174
QN8381,John F. Kennedy International Airport,18.31955925977544,1.3100751857440807
QN8491,Jamaica Bay (East),6.495794625421236,0.15394575377837666
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,4.88988200787153,2.658550856456891
SI0101,St. George-New Brighton,2.462760643288381,685.4096863210027
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,2.252103757285239,373.42862080820356
SI0103,Rosebank-Shore Acres-Park Hill,3.274929876503793,326.7245529978482
SI0104,West New Brighton-Silver Lake-Grymes Hill,7.93009143877691,231.14487571188852
SI0105,Westerleigh-Castleton Corners,7.109780302254777,164.14009299695246
SI0106,Port Richmond,3.3665215207397,290.5075740567705
SI0107,Mariner's Harbor-Arlington-Graniteville,8.304528943502065,163.04356444677654
SI0191,Snug Harbor,0.350091998920645,5.712784085800652
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,7.442701079683501,168.89029756028486
SI0202,New Dorp-Midland Beach,5.776613813897039,211.54261637850604
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,17.30877766279774,98.79380469918178
SI0204,New Springville-Willowbrook-Bulls Head-Travis,19.45242062789473,63.796687504300046
SI0291,Freshkills Park (North),6.334131252399533,18.62923190221209
SI0301,Oakwood-Richmondtown,5.196704015359526,169.91539202351726
SI0302,Great Kills-Eltingville,10.84596528256398,164.02412820368582
SI0303,Arden Heights-Rossville,6.296333401772004,120.54634841706309
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,16.761989525581953,83.88025764210025
SI0305,Tottenville-Charleston,11.777481442092636,46.44456479846581
SI0391,Freshkills Park (South),4.436885394328973,3.1553666042161397
SI9561,Fort Wadsworth,0.91668708638786,3.2726543708838376
SI9591,Hoffman & Swinburne Islands,0.059058143424279,0.0
SI9592,Miller Field,1.009550351643331,6.933779963134581
SI9593,Great Kills Park,2.171929318650026,7.827142372462856
