NTACode,NTAName,incident_count,area_km2,mob_mta_delay_density
SI0107,Mariner's Harbor-Arlington-Graniteville,0.0,8.298901593761427,0.0
SI0191,Snug Harbor,0.0,0.3498615366363881,0.0
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0.0,7.437853760049259,0.0
SI0202,New Dorp-Midland Beach,0.0,5.7728162493746344,0.0
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0.0,17.297252170822443,0.0
SI0204,New Springville-Willowbrook-Bulls Head-Travis,0.0,19.439412283456534,0.0
SI0291,Freshkills Park (North),0.0,6.329596738122117,0.0
SI0301,Oakwood-Richmondtown,0.0,5.193252867257207,0.0
SI0302,Great Kills-Eltingville,0.0,10.838657111972395,0.0
SI0303,Arden Heights-Rossville,0.0,6.292015922976774,0.0
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,0.0,16.750480176333536,0.0
SI0305,Tottenville-Charleston,0.0,11.769286710491421,0.0
SI0391,Freshkills Park (South),0.0,4.433836901256857,0.0
SI9561,Fort Wadsworth,0.0,0.916097478519395,0.0
SI9591,Hoffman & Swinburne Islands,0.0,0.059020230179383563,0.0
SI9592,Miller Field,0.0,1.0088868226757444,0.0
SI9593,Great Kills Park,0.0,2.1704814859797894,0.0
