NTACode,NTAName,complaint_count,area_km2,util_outage_density
MN0101,Financial District-Battery Park City,21,1.7851160182466348,11.763941270678018
MN0102,Tribeca-Civic Center,0,1.2606815403536147,0.0
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,0,1.1135099316225516,0.0
MN0201,SoHo-Little Italy-Hudson Square,18,1.199267695138506,15.009159400329834
MN0202,Greenwich Village,10,0.9844401173337256,10.158058193609754
MN0203,West Village,15,1.3385450384300805,11.206197452715395
MN0301,Chinatown-Two Bridges,10,1.0715722168851933,9.332082189539808
MN0302,Lower East Side,15,1.529463573645709,9.807360082623752
MN0303,East Village,59,1.7624260253905657,33.476582364315234
MN0401,Chelsea-Hudson Yards,26,2.75490421402429,9.437714700802573
MN0402,Hell's Kitchen,52,1.7067314009602594,30.467594356524526
MN0501,Midtown South-Flatiron-Union Square,8,1.3814631103374184,5.790961727560009
MN0502,Midtown-Times Square,8,2.2796225754726667,3.509352857826145
MN0601,Stuyvesant Town-Peter Cooper Village,2,0.517672740586473,3.8634446884999085
MN0602,Gramercy,5,0.6987628109895001,7.15550387250808
MN0603,Murray Hill-Kips Bay,14,1.464301356183495,9.560873477908347
MN0604,East Midtown-Turtle Bay,13,1.2198796015734987,10.656789393995568
MN0661,United Nations,0,0.10131943191408678,0.0
MN0701,Upper West Side-Lincoln Square,17,1.4667348994083367,11.59036987996781
MN0702,Upper West Side (Central),31,2.359304573616723,13.139465055365106
MN0703,Upper West Side-Manhattan Valley,26,1.2256265275435239,21.21364005731077
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,22,1.9963113437523619,11.020325095507273
MN0802,Upper East Side-Carnegie Hill,10,1.8630180885759848,5.367634410701612
MN0803,Upper East Side-Yorkville,28,1.2669065081560416,22.10107835088279
MN0901,Morningside Heights,14,1.4783929369219253,9.469742211531782
MN0902,Manhattanville-West Harlem,64,0.9967032265138638,64.21169140171313
MN0903,Hamilton Heights-Sugar Hill,60,1.4840441538511393,40.43006391979524
MN1001,Harlem (South),64,1.3394586823549266,47.780495839916796
MN1002,Harlem (North),163,2.2091277751748906,73.78477688421428
MN1101,East Harlem (South),30,1.5462855505914557,19.401332430821054
MN1102,East Harlem (North),112,2.4251354354433383,46.1829877058084
MN1191,Randall's Island,0,2.178841228946527,0.0
MN1201,Washington Heights (South),130,1.9523833774302508,66.58528314818346
MN1202,Washington Heights (North),118,2.299983177511299,51.304723075271404
MN1203,Inwood,45,1.3404589491575447,33.57059164570592
MN1291,Highbridge Park,0,0.7198975050225351,0.0
MN1292,Inwood Hill Park,0,0.9291982049616394,0.0
MN6491,Central Park,0,3.5572050158558928,0.0
QN0101,Astoria (North)-Ditmars-Steinway,21,5.4132704617976755,3.879355400436833
QN0102,Old Astoria-Hallets Point,16,1.029788643755393,15.537168813254558
QN0103,Astoria (Central),49,1.9576989576332295,25.029384527659353
QN0104,Astoria (East)-Woodside (North),28,2.41798022221964,11.579912748126931
QN0105,Queensbridge-Ravenswood-Dutch Kills,12,2.5738978477715335,4.662189686505831
QN0151,Rikers Island,1,1.6865111945728468,0.5929400310048201
QN0161,Sunnyside Yards (North),0,0.417845708950774,0.0
